"data.race","data.income"
"38496","other","$10000 - 14999"
"38497","other","$25000 or more"
"38499","white","$25000 or more"
"38500","white","$25000 or more"
"38501","white","$25000 or more"
"38502","white","$25000 or more"
"38503","other","$25000 or more"
"38504","white","$25000 or more"
"38505","white","$25000 or more"
"38506","other","$25000 or more"
"38510","white","$25000 or more"
"38513","white","$25000 or more"
"38514","white","$25000 or more"
"38515","white","$25000 or more"
"38516","white","$8000 to 9999"
"38517","white","$25000 or more"
"38518","white","$15000 - 19999"
"38519","white","$10000 - 14999"
"38520","white","$7000 to 7999"
"38521","black","lt $1000"
"38522","black","$5000 to 5999"
"38524","other","$25000 or more"
"38525","other","$25000 or more"
"38526","other","$25000 or more"
"38527","white","$25000 or more"
"38528","white","$25000 or more"
"38529","white","$25000 or more"
"38530","white","$25000 or more"
"38531","white","$25000 or more"
"38532","white","$25000 or more"
"38533","white","$25000 or more"
"38534","white","$25000 or more"
"38535","white","$25000 or more"
"38536","white","$25000 or more"
"38537","white","$25000 or more"
"38538","white","$25000 or more"
"38539","white","$25000 or more"
"38540","white","$25000 or more"
"38541","white","$25000 or more"
"38542","white","$25000 or more"
"38543","white","$25000 or more"
"38544","white","$25000 or more"
"38545","black","$25000 or more"
"38546","other","$25000 or more"
"38547","white","$25000 or more"
"38548","white","$25000 or more"
"38549","other","$25000 or more"
"38550","white","$25000 or more"
"38551","white","$20000 - 24999"
"38552","white","$25000 or more"
"38553","other","$25000 or more"
"38554","white","$25000 or more"
"38555","other","$1000 to 2999"
"38556","white","$8000 to 9999"
"38557","white","$15000 - 19999"
"38558","white","$25000 or more"
"38559","white","$25000 or more"
"38561","black","$25000 or more"
"38562","white","$25000 or more"
"38564","white","$25000 or more"
"38566","white","$1000 to 2999"
"38567","black","$25000 or more"
"38569","other","$25000 or more"
"38570","black","$25000 or more"
"38572","white","$15000 - 19999"
"38574","white","$20000 - 24999"
"38575","white","$25000 or more"
"38576","white","$25000 or more"
"38577","white","$25000 or more"
"38578","white","$10000 - 14999"
"38579","other","$15000 - 19999"
"38580","black","$20000 - 24999"
"38581","white","$25000 or more"
"38582","other","$15000 - 19999"
"38583","other","$20000 - 24999"
"38584","other","lt $1000"
"38585","other","$25000 or more"
"38586","black","$25000 or more"
"38587","other","$25000 or more"
"38588","black","$25000 or more"
"38589","white","$25000 or more"
"38590","white","$10000 - 14999"
"38591","black","$10000 - 14999"
"38592","black","$25000 or more"
"38593","other","$10000 - 14999"
"38595","white","$25000 or more"
"38596","other","$25000 or more"
"38597","white","$25000 or more"
"38598","white","$25000 or more"
"38599","white","$25000 or more"
"38601","black","$7000 to 7999"
"38602","other","$25000 or more"
"38603","white","$3000 to 3999"
"38604","black","$25000 or more"
"38605","white","$15000 - 19999"
"38606","black","$25000 or more"
"38607","white","$25000 or more"
"38608","white","$25000 or more"
"38609","white","$25000 or more"
"38611","white","$25000 or more"
"38612","white","$25000 or more"
"38613","white","$25000 or more"
"38614","black","$25000 or more"
"38616","black","$25000 or more"
"38617","black","$15000 - 19999"
"38619","black","$15000 - 19999"
"38620","white","$6000 to 6999"
"38621","black","$15000 - 19999"
"38622","white","$25000 or more"
"38623","white","$25000 or more"
"38625","white","$25000 or more"
"38626","black","$25000 or more"
"38627","black","$25000 or more"
"38628","black","$15000 - 19999"
"38629","other","$15000 - 19999"
"38630","black","$20000 - 24999"
"38631","black","$25000 or more"
"38632","black","$5000 to 5999"
"38633","black","$15000 - 19999"
"38634","other","$25000 or more"
"38635","white","$15000 - 19999"
"38636","white","$25000 or more"
"38638","white","$20000 - 24999"
"38642","white","$25000 or more"
"38647","white","$25000 or more"
"38650","white","$20000 - 24999"
"38651","other","$8000 to 9999"
"38652","white","$25000 or more"
"38655","white","$25000 or more"
"38656","white","$10000 - 14999"
"38658","white","$25000 or more"
"38663","white","$25000 or more"
"38664","black","$15000 - 19999"
"38665","white","$5000 to 5999"
"38666","black","$7000 to 7999"
"38668","other","$6000 to 6999"
"38669","black","$10000 - 14999"
"38671","black","$10000 - 14999"
"38673","white","$7000 to 7999"
"38677","white","$25000 or more"
"38681","white","$25000 or more"
"38682","white","$25000 or more"
"38685","other","$25000 or more"
"38686","black","$10000 - 14999"
"38687","other","$25000 or more"
"38688","other","$25000 or more"
"38689","other","$25000 or more"
"38690","other","$25000 or more"
"38691","white","$25000 or more"
"38692","other","$25000 or more"
"38693","white","$25000 or more"
"38694","other","$25000 or more"
"38695","black","$25000 or more"
"38696","black","$25000 or more"
"38699","other","$25000 or more"
"38700","other","$10000 - 14999"
"38701","other","$8000 to 9999"
"38702","white","$25000 or more"
"38703","other","$25000 or more"
"38704","other","$25000 or more"
"38705","white","$25000 or more"
"38706","white","$25000 or more"
"38707","white","$25000 or more"
"38708","white","$25000 or more"
"38709","white","$25000 or more"
"38710","white","$25000 or more"
"38711","white","$25000 or more"
"38712","white","$25000 or more"
"38713","white","$25000 or more"
"38714","white","$20000 - 24999"
"38715","white","$25000 or more"
"38716","white","$25000 or more"
"38718","white","$25000 or more"
"38719","white","$25000 or more"
"38720","black","$20000 - 24999"
"38721","other","$25000 or more"
"38722","black","$7000 to 7999"
"38723","other","$25000 or more"
"38724","white","$7000 to 7999"
"38725","other","$25000 or more"
"38726","white","$25000 or more"
"38727","white","$25000 or more"
"38730","white","$25000 or more"
"38731","white","$25000 or more"
"38732","white","$25000 or more"
"38733","white","$25000 or more"
"38736","white","$25000 or more"
"38737","other","$25000 or more"
"38739","white","$25000 or more"
"38740","white","$25000 or more"
"38741","white","$25000 or more"
"38742","black","$25000 or more"
"38743","other","$1000 to 2999"
"38744","other","$25000 or more"
"38745","other","$20000 - 24999"
"38747","white","$25000 or more"
"38748","white","$25000 or more"
"38749","black","$25000 or more"
"38750","white","$25000 or more"
"38751","white","$25000 or more"
"38752","white","$15000 - 19999"
"38753","white","$25000 or more"
"38754","white","$10000 - 14999"
"38755","black","$25000 or more"
"38756","white","$15000 - 19999"
"38757","white","$20000 - 24999"
"38758","white","$25000 or more"
"38760","white","$25000 or more"
"38761","white","$25000 or more"
"38762","white","$15000 - 19999"
"38763","white","$25000 or more"
"38764","black","$1000 to 2999"
"38765","black","$25000 or more"
"38766","white","$25000 or more"
"38769","black","$15000 - 19999"
"38770","white","$15000 - 19999"
"38772","other","$25000 or more"
"38773","white","$15000 - 19999"
"38774","white","$25000 or more"
"38775","white","$25000 or more"
"38776","white","$15000 - 19999"
"38778","white","$15000 - 19999"
"38779","white","$25000 or more"
"38780","white","$20000 - 24999"
"38781","white","$25000 or more"
"38782","white","$25000 or more"
"38783","white","$25000 or more"
"38784","white","$25000 or more"
"38785","white","$25000 or more"
"38786","white","$25000 or more"
"38787","white","$25000 or more"
"38788","white","$25000 or more"
"38789","white","$25000 or more"
"38790","white","$25000 or more"
"38791","black","$15000 - 19999"
"38792","black","$4000 to 4999"
"38793","black","$25000 or more"
"38794","other","$10000 - 14999"
"38795","black","$1000 to 2999"
"38796","white","$25000 or more"
"38798","white","$15000 - 19999"
"38799","white","$15000 - 19999"
"38800","white","$25000 or more"
"38801","white","$25000 or more"
"38802","white","$25000 or more"
"38803","white","$25000 or more"
"38804","white","$15000 - 19999"
"38805","white","$20000 - 24999"
"38806","white","$20000 - 24999"
"38807","white","$25000 or more"
"38808","white","$25000 or more"
"38809","white","$15000 - 19999"
"38810","white","$25000 or more"
"38811","white","$25000 or more"
"38812","white","$25000 or more"
"38813","white","$25000 or more"
"38814","white","$10000 - 14999"
"38815","white","$8000 to 9999"
"38816","white","$15000 - 19999"
"38817","white","$3000 to 3999"
"38818","white","$10000 - 14999"
"38819","white","$25000 or more"
"38820","white","$1000 to 2999"
"38821","white","$25000 or more"
"38822","white","$8000 to 9999"
"38823","white","$20000 - 24999"
"38824","white","$4000 to 4999"
"38825","white","$25000 or more"
"38826","white","$25000 or more"
"38827","other","$25000 or more"
"38828","white","$8000 to 9999"
"38829","white","$25000 or more"
"38830","white","$20000 - 24999"
"38831","white","$25000 or more"
"38832","white","$25000 or more"
"38834","white","$25000 or more"
"38835","white","$15000 - 19999"
"38836","other","$20000 - 24999"
"38837","white","$20000 - 24999"
"38838","white","$25000 or more"
"38839","white","$25000 or more"
"38840","other","$25000 or more"
"38841","white","$25000 or more"
"38842","white","lt $1000"
"38843","white","$25000 or more"
"38844","white","$20000 - 24999"
"38846","white","$25000 or more"
"38847","other","$25000 or more"
"38848","white","$15000 - 19999"
"38849","white","$25000 or more"
"38850","white","$25000 or more"
"38851","white","$25000 or more"
"38852","white","$10000 - 14999"
"38853","white","$10000 - 14999"
"38854","white","$25000 or more"
"38855","white","$25000 or more"
"38856","white","$25000 or more"
"38857","white","$25000 or more"
"38858","white","$25000 or more"
"38859","white","$25000 or more"
"38860","white","$25000 or more"
"38861","white","$15000 - 19999"
"38862","white","$25000 or more"
"38863","black","$25000 or more"
"38864","white","$25000 or more"
"38865","white","$25000 or more"
"38866","white","$25000 or more"
"38867","white","$25000 or more"
"38868","white","$25000 or more"
"38869","white","$25000 or more"
"38870","white","$25000 or more"
"38871","white","$25000 or more"
"38872","white","$25000 or more"
"38874","white","$7000 to 7999"
"38875","white","$10000 - 14999"
"38877","white","$25000 or more"
"38878","white","$25000 or more"
"38879","white","$25000 or more"
"38880","white","$25000 or more"
"38881","white","$20000 - 24999"
"38882","white","$25000 or more"
"38883","white","$25000 or more"
"38884","white","$25000 or more"
"38885","white","$25000 or more"
"38886","white","$15000 - 19999"
"38887","white","$25000 or more"
"38888","white","$25000 or more"
"38889","white","$10000 - 14999"
"38890","white","$8000 to 9999"
"38891","white","$25000 or more"
"38892","white","$10000 - 14999"
"38893","white","$25000 or more"
"38894","white","$1000 to 2999"
"38895","white","$8000 to 9999"
"38896","white","$25000 or more"
"38897","white","$8000 to 9999"
"38898","white","$25000 or more"
"38899","white","$25000 or more"
"38900","white","$25000 or more"
"38901","white","$15000 - 19999"
"38902","white","$25000 or more"
"38903","white","$20000 - 24999"
"38904","white","$20000 - 24999"
"38905","white","$10000 - 14999"
"38906","white","$25000 or more"
"38907","white","$25000 or more"
"38909","white","$25000 or more"
"38910","white","$25000 or more"
"38911","white","$25000 or more"
"38912","white","$25000 or more"
"38913","white","$25000 or more"
"38914","black","$15000 - 19999"
"38915","white","$20000 - 24999"
"38920","white","$25000 or more"
"38922","white","$25000 or more"
"38923","white","$25000 or more"
"38925","white","$10000 - 14999"
"38926","white","$7000 to 7999"
"38928","white","$25000 or more"
"38929","white","$20000 - 24999"
"38930","white","$10000 - 14999"
"38931","white","$20000 - 24999"
"38932","white","$15000 - 19999"
"38933","white","$25000 or more"
"38934","white","$8000 to 9999"
"38935","black","$7000 to 7999"
"38936","white","$15000 - 19999"
"38938","white","$25000 or more"
"38939","white","$25000 or more"
"38940","white","$25000 or more"
"38941","black","$10000 - 14999"
"38942","white","$25000 or more"
"38943","black","$25000 or more"
"38944","white","$15000 - 19999"
"38945","white","$15000 - 19999"
"38946","white","$25000 or more"
"38947","white","$15000 - 19999"
"38948","white","$25000 or more"
"38949","white","$25000 or more"
"38953","white","$25000 or more"
"38954","white","$25000 or more"
"38955","white","$25000 or more"
"38956","white","$25000 or more"
"38957","other","$15000 - 19999"
"38958","white","$10000 - 14999"
"38959","white","$20000 - 24999"
"38960","white","$10000 - 14999"
"38961","white","$25000 or more"
"38963","white","$25000 or more"
"38964","white","$20000 - 24999"
"38965","white","$20000 - 24999"
"38966","white","$25000 or more"
"38967","white","$25000 or more"
"38968","white","$25000 or more"
"38969","white","$25000 or more"
"38970","black","$25000 or more"
"38971","white","$25000 or more"
"38972","white","$25000 or more"
"38973","white","$15000 - 19999"
"38974","white","$25000 or more"
"38975","white","$10000 - 14999"
"38976","white","$25000 or more"
"38977","white","$10000 - 14999"
"38978","white","$20000 - 24999"
"38979","white","$10000 - 14999"
"38980","black","$8000 to 9999"
"38981","black","$20000 - 24999"
"38982","white","$5000 to 5999"
"38983","white","$25000 or more"
"38984","white","$10000 - 14999"
"38985","white","$6000 to 6999"
"38986","white","$25000 or more"
"38987","white","$25000 or more"
"38988","white","$25000 or more"
"38989","white","$10000 - 14999"
"38990","white","$8000 to 9999"
"38991","white","$8000 to 9999"
"38992","white","$10000 - 14999"
"38993","white","$4000 to 4999"
"38994","white","$10000 - 14999"
"38995","white","$15000 - 19999"
"38996","white","$10000 - 14999"
"38997","white","$15000 - 19999"
"38998","white","$8000 to 9999"
"39000","white","$25000 or more"
"39001","white","$8000 to 9999"
"39002","white","$8000 to 9999"
"39003","white","$25000 or more"
"39004","white","$25000 or more"
"39005","white","$15000 - 19999"
"39006","white","$25000 or more"
"39007","white","$10000 - 14999"
"39008","white","$25000 or more"
"39009","white","$25000 or more"
"39010","white","$25000 or more"
"39011","white","$25000 or more"
"39012","white","$25000 or more"
"39013","black","$25000 or more"
"39014","white","$25000 or more"
"39015","white","$20000 - 24999"
"39016","white","$25000 or more"
"39017","black","$25000 or more"
"39018","white","$25000 or more"
"39019","white","$1000 to 2999"
"39020","black","$6000 to 6999"
"39021","other","$8000 to 9999"
"39022","black","$6000 to 6999"
"39023","black","$1000 to 2999"
"39025","white","$10000 - 14999"
"39026","white","$6000 to 6999"
"39027","black","$15000 - 19999"
"39028","white","$25000 or more"
"39029","white","$25000 or more"
"39030","white","$8000 to 9999"
"39031","white","$10000 - 14999"
"39032","white","$20000 - 24999"
"39033","white","$10000 - 14999"
"39034","white","$25000 or more"
"39035","black","$25000 or more"
"39036","white","$25000 or more"
"39038","white","$20000 - 24999"
"39039","white","$25000 or more"
"39040","white","$25000 or more"
"39041","white","$25000 or more"
"39042","white","$25000 or more"
"39043","white","$25000 or more"
"39044","white","$25000 or more"
"39045","white","$25000 or more"
"39046","white","$25000 or more"
"39047","white","$20000 - 24999"
"39048","white","$15000 - 19999"
"39049","white","$25000 or more"
"39050","white","$25000 or more"
"39051","white","$15000 - 19999"
"39052","white","$25000 or more"
"39053","white","$25000 or more"
"39054","other","$10000 - 14999"
"39055","white","$8000 to 9999"
"39056","white","$25000 or more"
"39057","black","$25000 or more"
"39058","white","$20000 - 24999"
"39059","black","$25000 or more"
"39060","white","$25000 or more"
"39061","white","$20000 - 24999"
"39062","white","$25000 or more"
"39063","white","$25000 or more"
"39064","other","$20000 - 24999"
"39065","white","$25000 or more"
"39066","white","$25000 or more"
"39067","white","$25000 or more"
"39068","white","$25000 or more"
"39069","white","$6000 to 6999"
"39070","other","$15000 - 19999"
"39071","white","$4000 to 4999"
"39072","white","$10000 - 14999"
"39073","white","$20000 - 24999"
"39074","white","$15000 - 19999"
"39075","white","$25000 or more"
"39076","white","$25000 or more"
"39077","white","$25000 or more"
"39078","white","$25000 or more"
"39080","white","$25000 or more"
"39081","white","$25000 or more"
"39082","white","$25000 or more"
"39083","white","$25000 or more"
"39084","white","$25000 or more"
"39085","white","$25000 or more"
"39086","white","$25000 or more"
"39087","white","lt $1000"
"39088","white","$15000 - 19999"
"39089","white","$25000 or more"
"39090","white","$10000 - 14999"
"39091","white","$10000 - 14999"
"39092","white","$25000 or more"
"39093","white","$25000 or more"
"39094","white","$25000 or more"
"39095","white","$20000 - 24999"
"39096","white","$10000 - 14999"
"39097","white","$25000 or more"
"39098","white","$3000 to 3999"
"39099","black","$25000 or more"
"39100","white","$10000 - 14999"
"39101","white","$15000 - 19999"
"39102","white","$25000 or more"
"39103","white","$25000 or more"
"39104","other","$25000 or more"
"39105","white","$15000 - 19999"
"39106","white","$25000 or more"
"39107","white","$25000 or more"
"39108","white","$25000 or more"
"39109","white","$25000 or more"
"39110","white","$25000 or more"
"39111","white","$25000 or more"
"39112","white","$25000 or more"
"39113","white","$25000 or more"
"39115","white","$25000 or more"
"39116","white","$25000 or more"
"39117","white","$25000 or more"
"39118","white","$25000 or more"
"39120","white","$25000 or more"
"39121","white","$25000 or more"
"39122","white","$25000 or more"
"39123","white","$25000 or more"
"39124","white","$25000 or more"
"39125","white","$25000 or more"
"39126","white","$25000 or more"
"39127","white","$25000 or more"
"39128","white","$25000 or more"
"39129","white","$25000 or more"
"39130","white","$20000 - 24999"
"39131","white","$25000 or more"
"39132","white","$20000 - 24999"
"39133","white","$25000 or more"
"39134","white","$25000 or more"
"39135","black","$25000 or more"
"39136","other","$10000 - 14999"
"39137","white","$25000 or more"
"39138","white","$25000 or more"
"39139","white","$15000 - 19999"
"39140","white","$15000 - 19999"
"39141","white","$1000 to 2999"
"39142","white","$25000 or more"
"39143","white","$20000 - 24999"
"39144","white","$25000 or more"
"39145","white","$25000 or more"
"39146","white","$25000 or more"
"39147","white","$25000 or more"
"39148","other","$25000 or more"
"39149","black","$8000 to 9999"
"39150","white","$4000 to 4999"
"39151","white","$15000 - 19999"
"39152","white","$3000 to 3999"
"39153","white","$8000 to 9999"
"39154","white","$25000 or more"
"39155","white","$25000 or more"
"39156","black","$8000 to 9999"
"39157","white","$25000 or more"
"39158","white","$25000 or more"
"39159","other","$15000 - 19999"
"39160","white","$25000 or more"
"39161","white","$25000 or more"
"39162","black","$25000 or more"
"39163","other","$25000 or more"
"39164","other","$7000 to 7999"
"39165","other","$10000 - 14999"
"39166","other","$20000 - 24999"
"39167","white","$25000 or more"
"39168","white","$25000 or more"
"39169","other","$25000 or more"
"39170","other","$15000 - 19999"
"39171","white","$20000 - 24999"
"39172","white","$25000 or more"
"39173","other","$25000 or more"
"39174","other","$15000 - 19999"
"39176","white","$25000 or more"
"39177","white","$20000 - 24999"
"39178","other","$25000 or more"
"39179","other","$25000 or more"
"39180","white","$25000 or more"
"39181","white","$10000 - 14999"
"39182","other","$25000 or more"
"39183","white","$20000 - 24999"
"39184","white","$25000 or more"
"39185","white","$25000 or more"
"39186","white","$25000 or more"
"39187","white","$25000 or more"
"39188","white","$25000 or more"
"39189","white","$25000 or more"
"39190","other","$25000 or more"
"39191","white","$25000 or more"
"39192","other","$25000 or more"
"39193","white","$25000 or more"
"39194","white","$25000 or more"
"39195","white","$25000 or more"
"39196","white","$25000 or more"
"39197","white","$25000 or more"
"39198","white","$7000 to 7999"
"39199","white","$15000 - 19999"
"39200","white","$10000 - 14999"
"39201","white","$25000 or more"
"39202","white","$25000 or more"
"39203","white","$25000 or more"
"39204","white","$20000 - 24999"
"39206","white","$25000 or more"
"39208","white","$20000 - 24999"
"39209","white","$10000 - 14999"
"39210","white","$25000 or more"
"39211","white","$25000 or more"
"39212","black","$25000 or more"
"39213","black","$25000 or more"
"39214","white","$20000 - 24999"
"39215","white","$25000 or more"
"39216","white","$25000 or more"
"39217","other","$25000 or more"
"39219","white","$25000 or more"
"39220","white","$25000 or more"
"39221","white","$25000 or more"
"39222","white","$25000 or more"
"39223","white","$25000 or more"
"39224","white","$25000 or more"
"39225","white","$25000 or more"
"39226","white","$20000 - 24999"
"39227","white","$25000 or more"
"39228","white","$25000 or more"
"39229","white","$10000 - 14999"
"39230","white","$15000 - 19999"
"39231","white","$8000 to 9999"
"39232","white","$15000 - 19999"
"39233","white","$25000 or more"
"39234","white","$25000 or more"
"39236","white","$25000 or more"
"39237","white","$25000 or more"
"39238","white","$10000 - 14999"
"39239","white","lt $1000"
"39240","white","$10000 - 14999"
"39241","white","$25000 or more"
"39242","white","$15000 - 19999"
"39243","white","$15000 - 19999"
"39244","white","$25000 or more"
"39245","white","$10000 - 14999"
"39246","white","$25000 or more"
"39247","black","$25000 or more"
"39248","white","$7000 to 7999"
"39249","black","lt $1000"
"39250","white","$10000 - 14999"
"39252","black","$4000 to 4999"
"39253","other","$8000 to 9999"
"39254","white","$25000 or more"
"39255","white","$25000 or more"
"39256","white","$25000 or more"
"39257","white","$25000 or more"
"39258","white","$10000 - 14999"
"39260","black","$25000 or more"
"39261","white","$25000 or more"
"39262","white","$25000 or more"
"39263","white","$25000 or more"
"39264","white","$15000 - 19999"
"39265","white","$25000 or more"
"39266","white","$25000 or more"
"39267","white","$10000 - 14999"
"39268","white","$15000 - 19999"
"39269","white","$10000 - 14999"
"39270","white","$25000 or more"
"39271","white","$20000 - 24999"
"39272","white","$10000 - 14999"
"39273","white","$15000 - 19999"
"39274","white","$25000 or more"
"39275","white","$25000 or more"
"39276","white","$25000 or more"
"39277","white","$25000 or more"
"39278","white","$25000 or more"
"39279","white","$15000 - 19999"
"39280","white","$25000 or more"
"39281","white","$25000 or more"
"39282","white","$10000 - 14999"
"39283","white","$20000 - 24999"
"39285","white","$25000 or more"
"39286","white","$10000 - 14999"
"39287","white","$25000 or more"
"39289","white","$25000 or more"
"39290","white","$25000 or more"
"39291","white","$15000 - 19999"
"39292","white","$25000 or more"
"39293","white","$10000 - 14999"
"39294","black","$25000 or more"
"39295","black","$25000 or more"
"39296","other","$25000 or more"
"39297","white","$25000 or more"
"39298","white","$20000 - 24999"
"39299","white","$25000 or more"
"39300","white","$20000 - 24999"
"39301","white","$15000 - 19999"
"39302","white","$8000 to 9999"
"39304","black","$20000 - 24999"
"39305","black","$25000 or more"
"39306","white","$5000 to 5999"
"39307","black","$25000 or more"
"39308","white","$25000 or more"
"39309","white","$15000 - 19999"
"39310","black","$20000 - 24999"
"39311","white","$7000 to 7999"
"39312","white","$25000 or more"
"39313","white","$25000 or more"
"39315","black","$6000 to 6999"
"39316","black","$10000 - 14999"
"39317","white","$25000 or more"
"39318","white","$25000 or more"
"39320","black","$25000 or more"
"39321","white","$25000 or more"
"39322","white","$25000 or more"
"39324","white","$25000 or more"
"39325","black","$25000 or more"
"39326","white","$25000 or more"
"39327","white","$25000 or more"
"39329","black","$25000 or more"
"39330","white","$20000 - 24999"
"39331","black","$25000 or more"
"39332","white","$25000 or more"
"39333","other","$25000 or more"
"39334","black","$25000 or more"
"39335","white","$25000 or more"
"39336","white","$15000 - 19999"
"39338","white","$3000 to 3999"
"39339","other","$25000 or more"
"39340","white","$25000 or more"
"39341","white","$25000 or more"
"39342","white","$25000 or more"
"39343","white","$25000 or more"
"39344","white","$25000 or more"
"39345","white","$15000 - 19999"
"39346","white","$20000 - 24999"
"39347","white","$25000 or more"
"39348","white","$10000 - 14999"
"39351","white","$25000 or more"
"39352","white","$20000 - 24999"
"39353","black","$25000 or more"
"39354","black","$20000 - 24999"
"39355","white","$10000 - 14999"
"39356","white","$20000 - 24999"
"39357","white","$25000 or more"
"39358","white","$25000 or more"
"39359","white","$25000 or more"
"39360","white","$25000 or more"
"39362","white","$25000 or more"
"39363","white","$8000 to 9999"
"39364","white","$25000 or more"
"39365","black","$10000 - 14999"
"39366","white","$25000 or more"
"39367","white","$20000 - 24999"
"39368","other","lt $1000"
"39372","white","$25000 or more"
"39374","white","$15000 - 19999"
"39375","white","$25000 or more"
"39376","white","$25000 or more"
"39377","black","$25000 or more"
"39378","white","$15000 - 19999"
"39379","white","$25000 or more"
"39384","white","$25000 or more"
"39386","white","$25000 or more"
"39387","white","$25000 or more"
"39389","white","$25000 or more"
"39390","white","$25000 or more"
"39391","white","$25000 or more"
"39393","black","$25000 or more"
"39394","white","$25000 or more"
"39395","white","$25000 or more"
"39397","white","$25000 or more"
"39398","white","$25000 or more"
"39400","white","$25000 or more"
"39401","white","$7000 to 7999"
"39403","white","$25000 or more"
"39404","white","$25000 or more"
"39405","white","$25000 or more"
"39407","white","$25000 or more"
"39408","white","lt $1000"
"39409","white","$20000 - 24999"
"39410","white","$6000 to 6999"
"39411","white","$10000 - 14999"
"39412","white","$15000 - 19999"
"39413","other","$15000 - 19999"
"39414","white","$20000 - 24999"
"39415","white","$10000 - 14999"
"39416","white","$8000 to 9999"
"39417","other","$25000 or more"
"39418","white","$10000 - 14999"
"39419","other","$20000 - 24999"
"39420","white","$1000 to 2999"
"39422","white","$20000 - 24999"
"39423","white","$25000 or more"
"39424","white","$25000 or more"
"39425","white","lt $1000"
"39427","other","$20000 - 24999"
"39428","white","$10000 - 14999"
"39429","white","$25000 or more"
"39430","black","$25000 or more"
"39431","white","$15000 - 19999"
"39432","other","$25000 or more"
"39433","other","$25000 or more"
"39434","black","$20000 - 24999"
"39435","black","$25000 or more"
"39436","white","$25000 or more"
"39437","white","$25000 or more"
"39438","white","$25000 or more"
"39439","white","$15000 - 19999"
"39440","white","$10000 - 14999"
"39441","white","$25000 or more"
"39442","white","$20000 - 24999"
"39443","white","$25000 or more"
"39444","white","$25000 or more"
"39445","white","$25000 or more"
"39446","white","$25000 or more"
"39447","white","$15000 - 19999"
"39448","white","$25000 or more"
"39451","white","$10000 - 14999"
"39452","white","$25000 or more"
"39453","white","$10000 - 14999"
"39454","white","$25000 or more"
"39455","white","$25000 or more"
"39456","white","$25000 or more"
"39457","white","$25000 or more"
"39460","white","$25000 or more"
"39464","white","$25000 or more"
"39465","white","$25000 or more"
"39466","white","$15000 - 19999"
"39468","white","$25000 or more"
"39469","white","$25000 or more"
"39472","white","$25000 or more"
"39473","white","$25000 or more"
"39474","white","$25000 or more"
"39475","white","$25000 or more"
"39476","black","$25000 or more"
"39477","white","$25000 or more"
"39478","white","$25000 or more"
"39479","white","$25000 or more"
"39481","white","$25000 or more"
"39482","white","$25000 or more"
"39483","white","$25000 or more"
"39484","white","$20000 - 24999"
"39486","black","$5000 to 5999"
"39487","black","$20000 - 24999"
"39489","black","$10000 - 14999"
"39491","black","$10000 - 14999"
"39492","black","$6000 to 6999"
"39493","black","$10000 - 14999"
"39494","black","$10000 - 14999"
"39495","black","$25000 or more"
"39496","black","$15000 - 19999"
"39497","black","$15000 - 19999"
"39498","black","$25000 or more"
"39499","black","$10000 - 14999"
"39500","black","$10000 - 14999"
"39501","black","$15000 - 19999"
"39502","black","$1000 to 2999"
"39503","white","$25000 or more"
"39504","white","$20000 - 24999"
"39505","black","$15000 - 19999"
"39507","black","$15000 - 19999"
"39508","white","$25000 or more"
"39509","white","$25000 or more"
"39512","black","$20000 - 24999"
"39513","black","$1000 to 2999"
"39514","white","$8000 to 9999"
"39515","white","$25000 or more"
"39516","white","$25000 or more"
"39517","white","$25000 or more"
"39518","white","$25000 or more"
"39519","white","$25000 or more"
"39520","white","$25000 or more"
"39521","white","$25000 or more"
"39522","white","$15000 - 19999"
"39523","white","$25000 or more"
"39524","white","$20000 - 24999"
"39525","white","$25000 or more"
"39526","white","$25000 or more"
"39527","black","$25000 or more"
"39528","white","$25000 or more"
"39529","white","$25000 or more"
"39530","white","$25000 or more"
"39531","white","$25000 or more"
"39532","white","$25000 or more"
"39533","white","$25000 or more"
"39535","white","$25000 or more"
"39536","white","$25000 or more"
"39537","white","$25000 or more"
"39539","black","$25000 or more"
"39540","white","$20000 - 24999"
"39541","black","$20000 - 24999"
"39542","white","$25000 or more"
"39543","white","$25000 or more"
"39544","white","$25000 or more"
"39545","white","$25000 or more"
"39546","white","$25000 or more"
"39547","white","$20000 - 24999"
"39548","white","$25000 or more"
"39551","white","$25000 or more"
"39552","white","$25000 or more"
"39554","black","$20000 - 24999"
"39555","white","$25000 or more"
"39556","white","$25000 or more"
"39557","black","$25000 or more"
"39558","white","$25000 or more"
"39559","black","$25000 or more"
"39560","black","$20000 - 24999"
"39561","white","$15000 - 19999"
"39562","white","$25000 or more"
"39563","white","$25000 or more"
"39564","black","$8000 to 9999"
"39565","white","$15000 - 19999"
"39566","white","$25000 or more"
"39567","white","$10000 - 14999"
"39568","white","$1000 to 2999"
"39569","white","$25000 or more"
"39570","white","$15000 - 19999"
"39571","white","$25000 or more"
"39572","white","$25000 or more"
"39573","white","$25000 or more"
"39574","white","$10000 - 14999"
"39576","white","$15000 - 19999"
"39577","white","$20000 - 24999"
"39578","white","$25000 or more"
"39579","black","$25000 or more"
"39580","white","$25000 or more"
"39581","white","$10000 - 14999"
"39582","white","$15000 - 19999"
"39583","white","$25000 or more"
"39584","white","$25000 or more"
"39585","white","$25000 or more"
"39586","white","$25000 or more"
"39587","white","$25000 or more"
"39588","white","$25000 or more"
"39589","white","$25000 or more"
