"data.race","data.income"
"1962","white","$8000 to 9999"
"1964","white","$15000 - 19999"
"1965","white","$3000 to 3999"
"1966","white","$8000 to 9999"
"1967","white","$10000 - 14999"
"1968","white","$4000 to 4999"
"1969","white","$20000 - 24999"
"1970","white","$10000 - 14999"
"1972","white","$20000 - 24999"
"1973","white","$15000 - 19999"
"1974","white","$20000 - 24999"
"1975","white","$25000 or more"
"1976","white","$25000 or more"
"1977","white","$4000 to 4999"
"1978","white","$10000 - 14999"
"1979","white","$10000 - 14999"
"1980","black","$10000 - 14999"
"1981","white","$7000 to 7999"
"1982","white","$3000 to 3999"
"1983","white","$7000 to 7999"
"1984","white","$8000 to 9999"
"1985","white","$1000 to 2999"
"1987","white","$20000 - 24999"
"1988","white","$10000 - 14999"
"1989","white","$4000 to 4999"
"1990","white","$7000 to 7999"
"1991","white","$1000 to 2999"
"1992","white","$20000 - 24999"
"1993","white","$7000 to 7999"
"1994","white","$8000 to 9999"
"1995","white","$10000 - 14999"
"1997","white","$7000 to 7999"
"1998","white","$15000 - 19999"
"1999","white","$8000 to 9999"
"2000","white","$15000 - 19999"
"2001","white","$10000 - 14999"
"2002","white","$25000 or more"
"2003","white","$10000 - 14999"
"2004","other","$4000 to 4999"
"2005","white","$4000 to 4999"
"2006","white","$7000 to 7999"
"2007","white","$7000 to 7999"
"2009","white","$3000 to 3999"
"2010","white","$4000 to 4999"
"2011","white","$5000 to 5999"
"2012","white","$25000 or more"
"2013","white","$25000 or more"
"2014","white","$10000 - 14999"
"2015","white","$7000 to 7999"
"2016","white","$10000 - 14999"
"2017","white","$20000 - 24999"
"2018","white","$7000 to 7999"
"2019","white","$4000 to 4999"
"2020","white","$8000 to 9999"
"2021","white","$20000 - 24999"
"2022","white","$8000 to 9999"
"2023","white","$4000 to 4999"
"2024","white","$10000 - 14999"
"2025","white","$8000 to 9999"
"2026","white","$3000 to 3999"
"2027","white","$10000 - 14999"
"2028","white","$10000 - 14999"
"2029","white","$7000 to 7999"
"2030","white","lt $1000"
"2031","white","$8000 to 9999"
"2032","black","$25000 or more"
"2033","black","$8000 to 9999"
"2034","black","$5000 to 5999"
"2036","black","$1000 to 2999"
"2037","white","lt $1000"
"2038","white","$10000 - 14999"
"2039","white","$1000 to 2999"
"2040","white","$5000 to 5999"
"2041","white","$7000 to 7999"
"2042","white","$7000 to 7999"
"2044","white","$20000 - 24999"
"2045","white","$25000 or more"
"2046","white","$10000 - 14999"
"2048","white","$25000 or more"
"2049","white","$25000 or more"
"2050","white","$20000 - 24999"
"2051","white","$10000 - 14999"
"2052","white","$20000 - 24999"
"2053","white","$10000 - 14999"
"2054","white","$15000 - 19999"
"2055","white","$8000 to 9999"
"2056","white","$10000 - 14999"
"2057","white","$15000 - 19999"
"2058","white","$15000 - 19999"
"2059","white","$4000 to 4999"
"2060","white","$15000 - 19999"
"2061","white","$4000 to 4999"
"2062","white","$5000 to 5999"
"2063","white","$3000 to 3999"
"2064","white","$8000 to 9999"
"2065","white","$6000 to 6999"
"2066","white","$10000 - 14999"
"2067","black","lt $1000"
"2068","black","$1000 to 2999"
"2069","black","$25000 or more"
"2070","black","$1000 to 2999"
"2071","black","$8000 to 9999"
"2072","white","$10000 - 14999"
"2073","white","$20000 - 24999"
"2074","white","$15000 - 19999"
"2075","white","$15000 - 19999"
"2076","white","$20000 - 24999"
"2077","black","$6000 to 6999"
"2078","white","$4000 to 4999"
"2079","white","$8000 to 9999"
"2080","other","$10000 - 14999"
"2081","white","$7000 to 7999"
"2082","white","$15000 - 19999"
"2083","white","$20000 - 24999"
"2084","white","$5000 to 5999"
"2085","white","$10000 - 14999"
"2086","white","$10000 - 14999"
"2087","white","$10000 - 14999"
"2088","white","$10000 - 14999"
"2089","white","$20000 - 24999"
"2090","white","$20000 - 24999"
"2091","white","$4000 to 4999"
"2092","white","$15000 - 19999"
"2093","white","$1000 to 2999"
"2094","white","$25000 or more"
"2095","white","$20000 - 24999"
"2096","white","$15000 - 19999"
"2097","white","$15000 - 19999"
"2098","white","$4000 to 4999"
"2099","white","$15000 - 19999"
"2100","white","$6000 to 6999"
"2101","white","lt $1000"
"2102","black","$10000 - 14999"
"2103","black","$7000 to 7999"
"2104","black","lt $1000"
"2105","black","lt $1000"
"2106","black","$8000 to 9999"
"2107","white","$6000 to 6999"
"2108","white","$7000 to 7999"
"2109","white","lt $1000"
"2110","white","$6000 to 6999"
"2111","white","$10000 - 14999"
"2112","white","$8000 to 9999"
"2114","white","$7000 to 7999"
"2115","white","$15000 - 19999"
"2116","white","$10000 - 14999"
"2117","white","$20000 - 24999"
"2118","white","$25000 or more"
"2119","white","$10000 - 14999"
"2120","white","$15000 - 19999"
"2121","white","$8000 to 9999"
"2122","white","$20000 - 24999"
"2123","white","$10000 - 14999"
"2124","white","$15000 - 19999"
"2125","white","$1000 to 2999"
"2126","white","$10000 - 14999"
"2127","white","$8000 to 9999"
"2128","white","$10000 - 14999"
"2129","white","$10000 - 14999"
"2130","white","$1000 to 2999"
"2131","white","$15000 - 19999"
"2133","white","$6000 to 6999"
"2134","white","$10000 - 14999"
"2136","white","$15000 - 19999"
"2137","white","$10000 - 14999"
"2138","black","$8000 to 9999"
"2139","white","$15000 - 19999"
"2140","white","$10000 - 14999"
"2141","white","$10000 - 14999"
"2142","white","$5000 to 5999"
"2143","white","$10000 - 14999"
"2144","white","$10000 - 14999"
"2145","white","lt $1000"
"2146","white","$10000 - 14999"
"2147","white","$10000 - 14999"
"2148","white","$20000 - 24999"
"2149","white","$15000 - 19999"
"2150","white","$4000 to 4999"
"2151","white","$7000 to 7999"
"2152","white","$15000 - 19999"
"2153","white","$20000 - 24999"
"2154","white","$8000 to 9999"
"2155","white","$20000 - 24999"
"2156","white","$25000 or more"
"2157","white","$10000 - 14999"
"2158","white","$25000 or more"
"2159","white","$5000 to 5999"
"2160","white","$10000 - 14999"
"2161","white","$3000 to 3999"
"2162","white","$7000 to 7999"
"2163","white","$10000 - 14999"
"2164","white","$8000 to 9999"
"2165","white","$10000 - 14999"
"2166","white","$15000 - 19999"
"2167","white","$20000 - 24999"
"2168","white","$7000 to 7999"
"2169","white","$10000 - 14999"
"2170","white","$10000 - 14999"
"2171","white","$7000 to 7999"
"2172","white","$1000 to 2999"
"2173","white","$10000 - 14999"
"2174","white","$1000 to 2999"
"2175","white","$1000 to 2999"
"2176","white","$8000 to 9999"
"2178","white","$20000 - 24999"
"2179","white","$25000 or more"
"2181","black","$1000 to 2999"
"2182","white","$7000 to 7999"
"2183","white","$5000 to 5999"
"2184","white","$10000 - 14999"
"2185","black","lt $1000"
"2186","white","$8000 to 9999"
"2187","white","lt $1000"
"2188","black","lt $1000"
"2189","white","$8000 to 9999"
"2190","white","$7000 to 7999"
"2191","white","$10000 - 14999"
"2192","white","$10000 - 14999"
"2193","white","$10000 - 14999"
"2194","white","$20000 - 24999"
"2195","white","$25000 or more"
"2196","white","$25000 or more"
"2197","white","$25000 or more"
"2198","white","$25000 or more"
"2199","white","$7000 to 7999"
"2200","white","$1000 to 2999"
"2201","white","$15000 - 19999"
"2202","white","$5000 to 5999"
"2204","white","$15000 - 19999"
"2205","white","$25000 or more"
"2206","white","$15000 - 19999"
"2207","white","$8000 to 9999"
"2208","white","$10000 - 14999"
"2209","white","$7000 to 7999"
"2210","white","$8000 to 9999"
"2211","white","$10000 - 14999"
"2212","white","$10000 - 14999"
"2213","white","$20000 - 24999"
"2214","white","lt $1000"
"2216","white","$25000 or more"
"2217","white","$8000 to 9999"
"2218","white","$10000 - 14999"
"2219","white","$8000 to 9999"
"2220","white","$1000 to 2999"
"2221","white","$8000 to 9999"
"2222","white","$3000 to 3999"
"2223","white","$15000 - 19999"
"2224","white","$20000 - 24999"
"2225","white","$20000 - 24999"
"2226","white","$10000 - 14999"
"2227","white","$8000 to 9999"
"2228","white","$3000 to 3999"
"2229","white","$10000 - 14999"
"2232","white","$1000 to 2999"
"2233","white","$7000 to 7999"
"2234","white","$4000 to 4999"
"2235","white","$10000 - 14999"
"2236","white","$8000 to 9999"
"2237","white","$10000 - 14999"
"2238","white","$4000 to 4999"
"2239","white","$5000 to 5999"
"2240","white","$1000 to 2999"
"2241","white","$25000 or more"
"2242","white","$7000 to 7999"
"2243","white","$8000 to 9999"
"2244","black","$3000 to 3999"
"2245","other","$15000 - 19999"
"2248","white","$3000 to 3999"
"2249","white","$15000 - 19999"
"2250","white","$20000 - 24999"
"2251","white","$15000 - 19999"
"2252","white","$10000 - 14999"
"2253","white","$15000 - 19999"
"2254","white","$7000 to 7999"
"2255","white","$10000 - 14999"
"2256","white","$3000 to 3999"
"2257","white","$8000 to 9999"
"2258","white","$10000 - 14999"
